scene: 97 surfaces, 97 paint ops, 0 glyph runs
bez conversion: 0.023 ms uncached, 0.020 ms from a warm PathCache (97 entries)
conversion probe path cache: 5238 hits, 97 misses, 97 entries (98.2% hit rate)
vello_cpu cached cold path cache: 5238 hits, 97 misses (98.2% hit rate)
vello_cpu cached static path cache: 5335 hits, 0 misses (100.0% hit rate)
vello_cpu cached all curves moving path cache: 55 hits, 5280 misses (1.0% hit rate)
vello_cpu cached path cache: 10628 hits, 5377 misses, 97 entries (66.4% hit rate)
vello_hybrid cached cold path cache: 5238 hits, 97 misses (98.2% hit rate)
vello_hybrid cached static path cache: 5335 hits, 0 misses (100.0% hit rate)
vello_hybrid cached all curves moving path cache: 55 hits, 5280 misses (1.0% hit rate)
vello_hybrid cached path cache: 10628 hits, 5377 misses, 97 entries (66.4% hit rate)
classic GPU buffer estimate: 8.7 MiB peak
adapter: AMD Radeon RX 6600 (RADV NAVI23) (Vulkan, DiscreteGpu)

backend              case                  build   resolve    encode    render     total       p95
mui (resolve only)   static                0.005     0.165     0.000     0.000     0.170     0.180
vello_cpu            cold                  0.007     0.210    15.852     0.274    16.353    16.512
vello_cpu            static                0.006     0.173    15.860     0.285    16.327    16.528
vello_cpu            all curves moving     0.006     0.172    15.876     0.286    16.341    16.677
vello_cpu cached     cold                  0.006     0.209    15.946     0.285    16.443    17.644
vello_cpu cached     static                0.006     0.173    15.898     0.297    16.382    16.432
vello_cpu cached     all curves moving     0.006     0.176    15.970     0.294    16.450    17.056
vello_hybrid         cold                  0.009     0.271    16.042     2.384    18.721    18.810
vello_hybrid         static                0.007     0.223    16.125     2.395    18.750    18.815
vello_hybrid         all curves moving     0.008     0.225    16.084     2.452    18.750    18.794
vello_hybrid cached  cold                  0.009     0.272    16.211     2.263    18.721    18.826
vello_hybrid cached  static                0.008     0.220    16.439     2.090    18.750    18.813
vello_hybrid cached  all curves moving     0.008     0.225    16.514     2.021    18.750    18.790
vello (classic)      cold                  0.007     0.213     0.148     0.659     1.026     1.751
vello (classic)      static                0.006     0.178     0.149     0.720     1.060     1.694
vello (classic)      all curves moving     0.006     0.179     0.148     0.678     1.009     1.551

peak RSS 69.4 MiB
